"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C6,C9","4","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C8,C12","4","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C7","2","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10,C11","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D2,D3,D4","3","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"F1","1","2920L500/24SL","","","","Fuse:Fuse_2920_7451Metric","~"
"J1","1","Conn_01x02","","","","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal","~"
"J2,J3,J4","3","Conn_01x02","","","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical","~"
"J6","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"L2,L5","2","1uH","","","","Inductor_SMD:L_1206_3216Metric","~"
"R1,R7","2","2.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R5","2","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","13.3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","22.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","3m","","","","Resistor_SMD:R_Shunt_Isabellenhuette_BVR4026","~"
"U1,U5","2","TPS54302","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54302.pdf"
"U2","1","INA219AxD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"U3","1","AP2112K-1.8","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
